date,msd
2018-01-23,1.721
2018-02-08,1.642
2018-02-08,1.611
2018-02-24,1.602
2018-03-12,1.574
2018-03-12,1.56
2018-03-28,1.247
2018-03-28,1.241
2018-04-13,1.367
2018-04-13,1.362
2018-04-29,1.141
2018-04-29,1.14
2018-05-15,1.09
2018-05-15,1.09
2018-06-16,1.091
2018-06-16,1.091
2018-10-06,1.163
2018-10-06,1.162
2018-10-22,1.374
2018-10-22,1.366
2018-11-07,1.454
2018-11-07,1.446
2018-11-23,1.505
2018-11-23,1.494
2018-12-09,1.455
2018-12-09,1.446
2018-12-25,1.613
2018-12-25,1.6
2019-01-10,1.767
2019-01-10,1.752
2019-02-11,1.78
2019-02-11,1.763
2019-03-31,1.32
2019-03-31,1.312
2019-05-02,1.197
2019-05-18,1.138
2019-05-18,1.138
2019-06-03,1.189
2019-07-21,1.169
2019-07-21,1.17
2019-11-10,1.38
2019-11-10,1.373
2019-11-26,1.541
2020-01-13,1.62
2020-01-29,1.682
2020-01-29,1.679
2020-02-14,1.693
2020-02-14,1.672
2020-03-17,1.527
2020-03-17,1.515
2020-04-02,1.47
2020-04-02,1.461
2020-10-27,1.49
2020-10-27,1.477
2020-11-12,1.648
2020-11-12,1.633
2020-11-28,1.646
2020-11-28,1.631
2020-12-14,1.679
2020-12-30,1.524
2020-12-30,1.518
